Date,Open,High,Low,Close,Adj Close,Volume
2023-08-17,36000.000000,36440.000000,35300.000000,35300.000000,34923.339844,4209
2023-08-18,36100.000000,36100.000000,34500.000000,34500.000000,34131.875000,1919
2023-08-21,null,null,null,null,null,null
2023-08-22,35000.000000,35000.000000,34000.000000,34000.000000,33637.210938,10865
2023-08-23,34500.000000,34900.000000,34500.000000,34900.000000,34527.609375,1473
2023-08-24,35000.000000,35000.000000,33860.000000,33860.000000,33498.707031,4997
2023-08-25,35000.000000,35000.000000,33500.000000,33500.000000,33142.546875,7896
2023-08-28,34000.000000,34000.000000,34000.000000,34000.000000,33637.210938,3432
2023-08-29,33980.000000,34000.000000,33960.000000,34000.000000,33637.210938,9244
2023-08-30,33500.000000,33500.000000,31500.000000,33000.000000,32647.882813,13421
2023-08-31,32980.000000,32980.000000,31000.000000,31000.000000,30669.222656,22335
2023-09-01,31000.000000,31000.000000,30380.000000,30380.000000,30055.837891,36576
2023-09-04,28070.000000,31500.000000,28070.000000,31400.000000,31064.955078,34567
2023-09-05,28300.000000,31500.000000,28300.000000,30980.000000,30649.435547,21829
2023-09-06,29980.000000,31000.000000,29900.000000,31000.000000,30669.222656,32877
2023-09-07,29020.000000,31200.000000,29000.000000,31000.000000,30669.222656,46254
2023-09-08,30970.000000,31000.000000,30970.000000,31000.000000,30669.222656,7879
2023-09-11,31400.000000,31400.000000,30070.000000,31000.000000,30669.222656,6204
2023-09-12,31400.000000,32000.000000,29230.000000,30840.000000,30510.929688,24140
2023-09-13,30000.000000,30000.000000,29500.000000,29900.000000,29580.958984,17646
2023-09-14,28130.000000,30990.000000,28130.000000,30990.000000,30659.330078,306658
2023-09-15,30980.000000,30980.000000,28990.000000,28990.000000,28680.669922,262799
2023-09-18,29990.000000,30000.000000,28500.000000,30000.000000,29679.892578,254009
2023-09-19,29210.000000,30300.000000,29210.000000,30300.000000,29976.691406,7765
2023-09-20,29500.000000,30000.000000,29500.000000,30000.000000,29679.892578,16745
2023-09-21,29900.000000,29900.000000,29900.000000,29900.000000,29580.958984,5670
2023-09-22,28810.000000,30400.000000,28650.000000,30400.000000,30075.625000,8685
2023-09-25,28770.000000,29990.000000,28500.000000,29990.000000,29670.000000,30381
2023-09-26,29030.000000,29980.000000,29030.000000,29980.000000,29980.000000,5436
2023-09-27,29810.000000,30970.000000,29800.000000,30970.000000,30970.000000,5933
2023-09-28,30900.000000,30900.000000,30890.000000,30900.000000,30900.000000,16484
2023-09-29,30900.000000,31990.000000,30010.000000,31990.000000,31990.000000,32637
2023-10-02,31260.000000,31260.000000,30020.000000,30140.000000,30140.000000,61930
2023-10-03,30140.000000,30850.000000,30140.000000,30840.000000,30840.000000,6280
2023-10-04,31000.000000,31000.000000,31000.000000,31000.000000,31000.000000,6381
2023-10-05,30030.000000,31600.000000,29440.000000,31600.000000,31600.000000,30949
2023-10-06,31600.000000,33000.000000,31200.000000,33000.000000,33000.000000,11079
2023-10-09,33000.000000,33000.000000,33000.000000,33000.000000,33000.000000,3325
2023-10-10,33000.000000,33000.000000,33000.000000,33000.000000,33000.000000,1185
2023-10-11,31330.000000,31330.000000,31330.000000,31330.000000,31330.000000,2092
2023-10-12,31990.000000,31990.000000,31990.000000,31990.000000,31990.000000,3234
2023-10-13,31110.000000,32000.000000,31110.000000,32000.000000,32000.000000,4514
2023-10-16,null,null,null,null,null,null
2023-10-17,31500.000000,33000.000000,30610.000000,33000.000000,33000.000000,18616
2023-10-18,32000.000000,33000.000000,32000.000000,33000.000000,33000.000000,8652
2023-10-19,32990.000000,33000.000000,32370.000000,32890.000000,32890.000000,15672
2023-10-20,31750.000000,32500.000000,31700.000000,32500.000000,32500.000000,16920
2023-10-23,31800.000000,31820.000000,31520.000000,31820.000000,31820.000000,10879
2023-10-24,30710.000000,32470.000000,30710.000000,32470.000000,32470.000000,11447
2023-10-25,33000.000000,33000.000000,33000.000000,33000.000000,33000.000000,6078
2023-10-26,32970.000000,32970.000000,32310.000000,32310.000000,32310.000000,4821
2023-10-27,32260.000000,33000.000000,32260.000000,33000.000000,33000.000000,5707
2023-10-30,33000.000000,33000.000000,32590.000000,32900.000000,32900.000000,15302
2023-10-31,32100.000000,32300.000000,32000.000000,32300.000000,32300.000000,7775
2023-11-01,32670.000000,32870.000000,32300.000000,32870.000000,32870.000000,12201
2023-11-02,32120.000000,32870.000000,32040.000000,32870.000000,32870.000000,7135
2023-11-03,32210.000000,32690.000000,32210.000000,32690.000000,32690.000000,7516
